Activity Type,Distance,Calories,Avg HR,Max HR,Aerobic TE,Total Reps,Total Sets,Elapsed Time (hours),Total Calories,Steps,Goal_Achieved
Calgary Walking,3.81,245,94,121,0.9,0,0,0.729,3666,11385,1
Calgary Hockey,11.93,1049,113,139,2.2,0,0,3.065,3666,11385,1
Calgary Walking,5.02,332,92,112,1.1,0,0,1.004,2379,7439,1
Strength,0,18,88,110,0.1,101,1,0.267,2382,4174,0
Strength,0,13,86,119,0.2,105,1,0.939,2382,4174,0
Strength,0,11,87,102,0.1,101,1,0.211,2382,4174,0
Calgary Running,3.16,227,151,171,2.9,0,0,0.281,2382,4174,0
Calgary Hockey,4.72,507,120,158,2.2,0,0,1.164,2886,3853,0
Calgary Hockey,4.78,422,116,156,2.2,0,0,0.976,2886,3853,0
Strength,0,105,94,121,0.4,301,1,0.810,2732,3514,0
Calgary Hockey,3.84,463,122,160,2.2,0,0,1.071,2732,3514,0
Calgary Hockey,6.67,639,130,161,2.4,0,0,1.306,2718,3133,0
Calgary Hockey,15.25,1185,126,170,3.0,0,0,2.801,3721,5159,0
Calgary Hockey,6.44,736,137,183,3.2,0,0,1.318,3721,5159,0
Strength,0,26,73,98,0.0,193,1,4.682,2800,10071,1
Strength,0,6,61,88,0.0,105,3,0.226,2800,10071,1
Calgary Hockey,4.38,382,98,120,0.6,0,0,1.263,2800,10071,1
Calgary Hiking,4.38,493,101,126,0.5,0,0,1.819,2800,10071,1
Strength,0,35,83,113,0.2,211,1,0.689,2436,5170,0
Calgary Running,3.89,211,135,164,2.1,0,0,1.034,2436,5170,0
Calgary Hockey,15.14,1122,124,157,2.6,0,0,2.703,3066,4090,0
Strength,0,54,80,110,0.1,401,1,0.808,2309,4403,0
Calgary Walking,2.38,164,112,150,1.0,0,0,0.336,2309,4403,0
Calgary Hockey,15.07,1391,122,163,2.8,0,0,3.473,3234,4198,0
Calgary Hockey,2.92,208,109,133,0.9,0,0,0.493,2735,3072,0
Calgary Walking,7.61,611,90,131,1.1,0,0,2.118,3364,13719,1
Calgary Hockey,9.26,1014,111,142,2.1,0,0,2.888,3364,13719,1
Calgary Walking,8.12,580,94,120,1.0,0,0,1.926,3542,17032,1
Calgary Hockey,15.33,1163,119,163,2.6,0,0,2.828,3542,17032,1
Calgary Walking,6.9,475,87,134,1.2,0,0,1.379,2479,9529,1
Strength,0,19,75,102,0.1,210,1,0.549,2135,1625,0
Calgary Hockey,19.44,1413,119,154,2.7,0,0,3.683,3293,5537,0
Calgary Hockey,10.31,828,111,156,2.1,0,0,2.418,2804,5887,1
Calgary Hockey,4.65,322,106,142,1.0,0,0,0.875,2623,7322,1
Calgary Walking,4.17,292,90,123,0.6,0,0,0.926,2623,7322,1
Calgary Hockey,21.02,1635,114,160,2.8,0,0,4.339,3425,3792,0
Calgary Hockey,13.14,945,97,127,1.6,0,0,2.984,2849,5244,0
Calgary Hockey,3.66,394,116,147,2.0,0,0,0.947,3051,3517,0
Calgary Hockey,3.32,297,117,143,1.7,0,0,0.660,3051,3517,0
Calgary Hockey,2.35,291,96,132,0.8,0,0,0.979,2616,7829,1
Calgary Walking,4.52,348,93,128,0.7,0,0,1.099,2616,7829,1
Calgary Walking,6.02,437,94,126,1.0,0,0,1.360,3490,11481,1
Cardio,0,113,118,146,0.9,0,0,0.223,3490,11481,1
Calgary Hockey,14.49,1097,126,161,2.9,0,0,2.447,3490,11481,1
Calgary Hockey,7.35,613,120,162,2.4,0,0,1.370,3030,13942,1
Calgary Walking,7.9,524,88,108,1.3,0,0,1.802,3030,13942,1
Strength,0,49,83,115,0.1,200,1,0.853,2348,3784,0
Cardio,0,127,146,171,2.3,0,0,0.219,2348,3784,0
Strength,0,22,77,112,0.2,194,1,0.417,2172,2239,0
Calgary Hockey,12.26,951,106,140,1.6,0,0,2.840,2954,4153,0
Calgary Hockey,6.06,503,100,144,0.9,0,0,1.614,2538,2557,0
Cardio,0,241,121,158,2.2,0,0,1.151,2392,2337,0
Calgary Walking,3.6,276,98,136,0.9,0,0,0.820,2384,7076,1
Cardio,0,36,95,123,0.1,0,0,0.115,2384,7076,1
Cardio,0,134,109,144,1.0,0,0,0.791,2314,1834,0
Cardio,0,119,113,142,1.0,0,0,0.254,2347,4730,0
Calgary Walking,2.18,130,89,113,0.4,0,0,0.414,2347,4730,0
Calgary Walking,1.77,105,96,114,0.4,0,0,0.269,2361,3643,0
Strength,0,22,112,135,0.5,77,1,0.142,2361,3643,0
Cardio,0,99,125,148,1.2,0,0,0.168,2361,3643,0
Cardio,0,191,103,137,0.6,0,0,0.537,2355,2105,0
Calgary Hockey,1.66,107,94,119,0.5,0,0,0.295,2355,2105,0
Cardio,0,239,114,151,1.7,0,0,0.535,2590,9270,1
Calgary Walking,4.46,326,86,119,0.7,0,0,1.220,2590,9270,1
Cardio,0,176,105,155,1.3,0,0,0.464,2494,8168,1
Calgary Walking,0.64,78,96,126,0.2,0,0,0.271,2494,8168,1
Calgary Walking,3.22,202,88,114,0.6,0,0,0.652,2272,5282,0
Cardio,0,119,93,134,0.4,0,0,0.419,2534,7858,1
Calgary Walking,3.84,283,106,152,1.4,0,0,0.683,2534,7858,1
Calgary Hockey,14.42,952,117,164,2.4,0,0,2.404,3165,6088,1
Calgary Walking,1.8,135,92,122,0.5,0,0,0.388,3165,6088,1
Hockey,8.37,783,120,156,2.6,0,0,1.913,3021,4812,0
Calgary Hockey,1.95,170,108,127,0.7,0,0,0.458,3021,4812,0
Calgary Hiking,11.76,1255,102,139,1.1,0,0,4.028,3131,7876,1
Calgary Walking,5.31,343,96,119,1.2,0,0,0.989,2415,8737,1
Cardio,0,223,105,150,0.9,0,0,0.611,2323,2791,0
Calgary Walking,2.29,148,110,144,0.6,0,0,0.401,2291,4235,0
Calgary Walking,2.4,164,110,132,0.7,0,0,0.514,2295,4205,0
Hockey,10.39,764,126,161,2.6,0,0,1.641,3341,10821,1
Calgary Walking,6.23,649,111,159,2.2,0,0,1.774,3341,10821,1
Calgary Hockey,5.18,346,119,150,2.1,0,0,0.736,2551,5137,0
Calgary Walking,4.04,280,93,118,0.7,0,0,0.962,2931,8314,1
Calgary Hockey,6.53,611,137,181,3.2,0,0,1.076,2931,8314,1
Calgary Walking,2.54,185,96,121,0.5,0,0,0.585,2517,6345,1
Cardio,0,111,112,153,0.9,0,0,0.255,2517,6345,1
Calgary Running,1.97,113,139,154,2.1,0,0,0.194,2517,6345,1
Calgary Running,2.08,106,137,180,2.1,0,0,0.199,2344,4241,0
Calgary Walking,1.17,75,96,105,0.3,0,0,0.211,2252,3485,0
Calgary Walking,2.1,159,90,109,0.4,0,0,0.525,2517,6055,1
Cardio,0,130,113,157,1.1,0,0,0.289,2517,6055,1
Strength,0,184,93,117,0.5,382,33,1.047,2517,6055,1
Strength,0,147,88,120,0.3,307,26,0.751,2309,4393,0
Cardio,0,130,111,152,1.4,0,0,0.300,3044,8542,1
Calgary Hiking,11.7,922,114,153,2.1,0,0,2.856,3044,8542,1
